
 ** NVTX Range Kernel Summary (nvtx_kern_sum):

+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|          NVTX Range           |  Style  |   PID   |   TID   | NVTX Inst | Kern Inst | Total Time (ns) |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                             Kernel Name                                              |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |         5 |         235,963 |    47,192.6 |    47,199.0 |   46,303 |    47,871 |       616.5 | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     8,640 |   9,795,541,066 | 1,133,743.2 | 1,149,873.5 |  261,690 | 2,363,008 |   867,809.4 | void cudnn::bn_fw_tr_1C11_kernel_NCHW<__half, float, int, (int)512, (bool)1, (int)1, (bool)1>(cudnn… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     3,240 |   3,604,338,281 | 1,112,450.1 |   877,771.0 |  861,865 | 2,047,433 |   335,121.2 | sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warp… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |    30,240 |   2,394,860,867 |    79,195.1 |    16,384.0 |    3,999 |   391,061 |   118,980.7 | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |    57,240 |   2,088,310,827 |    36,483.4 |     6,304.0 |    2,335 |   494,291 |    84,924.1 | void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKe… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |    29,160 |   1,498,652,912 |    51,394.1 |    11,263.0 |    2,815 |   227,354 |    74,872.8 | void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKe… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     4,320 |   1,279,361,089 |   296,148.4 |   259,513.0 |  184,571 |   597,199 |   107,796.9 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |    23,760 |   1,018,109,596 |    42,849.7 |     6,592.0 |    2,111 |   191,227 |    69,358.4 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at:… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     8,640 |     988,920,907 |   114,458.4 |   115,389.0 |   47,679 |   296,600 |    53,696.1 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |     523,790,016 |   484,990.8 |   484,308.0 |  480,979 |   623,728 |     9,424.0 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x… |
